date,season,holiday,weekday,weather,temperature,realfeel,humidity,windspeed,rentals
2011-01-01,1,0,6,2,46.7165282,46.39865,0.805833,6.6796649282219995,985
2011-01-02,1,0,0,2,48.3502388,45.22419320000001,0.696087,10.347140106923,801
2011-01-03,1,0,1,1,34.2123944,25.701313999999996,0.437273,10.337564779813,1349
2011-01-04,1,0,2,1,34.52,28.4000936,0.590435,6.673420149672,1562
2011-01-05,1,0,3,1,36.8005622,30.437275999999997,0.436957,7.7809940733000005,1600
2011-01-06,1,0,4,1,34.8878408,30.9052292,0.518261,3.7287655985764,1606
2011-01-07,1,0,5,2,34.2257612,28.0100732,0.498696,7.024376704182,1510
2011-01-08,1,0,6,2,31.559,22.4757752,0.535833,11.107545975028,959
2011-01-09,1,0,0,1,29.3029718,17.00159,0.434167,15.06865064115,822
2011-01-10,1,0,1,1,30.3604718,21.1254944,0.482917,9.295019816819,1321
2011-01-11,1,0,2,2,31.9050986,25.9459232,0.686364,5.084581959124001,1263
2011-01-12,1,0,3,1,32.2127042,22.2641924,0.599545,12.682187702339,1162
2011-01-13,1,0,4,1,31.559,21.1249004,0.470417,12.531188957,1406
2011-01-14,1,0,5,1,31.209602,25.583464399999997,0.537826,5.268428239636,1421
2011-01-15,1,0,6,2,37.3399718,32.6757056,0.49875,6.576293027290999,1248
2011-01-16,1,0,0,1,37.1990282,31.0249796,0.48375,7.844815710080999,1204
2011-01-17,1,1,1,2,32.4754718,24.200394800000005,0.5375,8.077287999569,1000
2011-01-18,1,0,2,2,35.9300282,30.8011604,0.861667,6.1105158111749995,683
2011-01-19,1,0,3,2,42.3179204,38.652533600000005,0.741739,8.672623554669,1650
2011-01-20,1,0,4,2,39.7370282,33.49994,0.538333,8.155847313728,1927
2011-01-21,1,0,5,1,32.6165,21.9505604,0.457083,14.706120430394002,1543
2011-01-22,1,0,6,1,22.60243184,12.593468480000002,0.4,7.15943044829,981
2011-01-23,1,0,0,1,25.76573582,14.942085079999998,0.436522,10.266415936200001,986
2011-01-24,1,0,1,1,25.83930398,17.210084,0.491739,6.59157191881,1416
2011-01-25,1,0,2,2,36.506238800000006,31.0616888,0.616957,5.403648511172,1985
2011-01-26,1,0,3,3,36.0005,27.38768,0.8625,12.233521179450001,506
2011-01-27,1,0,4,1,34.097,29.300359999999998,0.6875,4.739245705309,431
2011-01-28,1,0,5,2,34.8142388,29.730059599999997,0.793043,5.133207968100001,1167
2011-01-29,1,0,6,1,34.2257612,28.4005688,0.651739,6.051814892805,1098
2011-01-30,1,0,0,1,35.9177612,32.9382536,0.722174,3.0800330236881996,1096
2011-01-31,1,0,1,2,32.898471799999996,25.326500000000003,0.60375,7.793150575544001,1501
2011-02-01,1,0,2,2,33.8579204,31.062164,0.829565,2.215356006541,1360
2011-02-02,1,0,3,2,39.596000000000004,33.4247396,0.775417,11.003632859956,1526
2011-02-03,1,0,4,1,33.4165622,24.3319064,0.437826,11.563331545463999,1550
2011-02-04,1,0,5,2,35.476318400000004,30.356135600000002,0.585217,5.322174967023,1708
2011-02-05,1,0,6,2,37.3399718,32.0752904,0.929167,6.706017893703001,1005
2011-02-06,1,0,0,1,41.7814718,37.850514800000006,0.568333,5.9033973226,1623
2011-02-07,1,0,1,1,40.5830282,39.2745704,0.738333,1.8904318522131,1712
2011-02-08,1,0,2,1,36.2824718,26.751624800000002,0.537917,15.06865064115,1530
2011-02-09,1,0,3,2,29.0026418,20.3408204,0.494783,7.861718244023,1605
2011-02-10,1,0,4,1,29.8118408,20.9663024,0.437391,9.239566183295,1538
2011-02-11,1,0,5,1,33.5970986,28.5648692,0.506364,4.519138077349999,1746
2011-02-12,1,0,6,1,36.4235,30.8749352,0.544167,8.466545862519,1472
2011-02-13,1,0,0,1,44.3777612,41.7046244,0.457391,10.861043749731,1589
2011-02-14,1,0,1,1,52.708999999999996,50.52398,0.375833,17.398286095156,1913
2011-02-15,1,0,2,1,40.1109602,33.4077512,0.314348,12.130440701518001,1815
2011-02-16,1,0,3,1,44.5248806,40.76456,0.423478,10.482526905887,2115
2011-02-17,1,0,4,1,54.4714718,54.124570399999996,0.505,9.579656823128001,2475
2011-02-18,1,0,5,1,61.7330282,64.0235804,0.516667,11.029319715725002,2927
2011-02-19,1,0,6,1,51.369528200000005,49.69879519999999,0.187917,21.126627048790997,1635
2011-02-20,1,0,0,1,41.7293582,36.146804,0.407826,9.293687597395,1812
2011-02-21,1,1,1,2,43.261971800000005,36.94811,0.605,12.816200650022001,1107
2011-02-22,1,0,2,1,33.0159812,25.3007204,0.577778,8.146646673331,1450
